user_id,course_name
7273650.161191158,excel2013
7273650.161191158,excelformulas
38700632.16119125,internetbasics
38700632.16119125,word2010
41380949.1611916,excelxp
41380949.1611916,excel2016
41380949.1611916,excel2007
22011421.160018656,powerpoint
22011421.160018656,excel
23529408.161176164,readingactivities
23529408.161176164,info
23529408.161176164,word-tips
23529408.161176164,google-tips
23529408.161176164,word
23529408.161176164,word2016
23529408.161176164,computerbasics
23529408.161176164,business-communication
23529408.161176164,access2016
23529408.161176164,excel
23529408.161176164,excelformulas
23529408.161176164,excel2016
23529408.161176164,excel2013
23529408.161176164,job-hunt-for-today
23529408.161176164,decimals
23529408.161176164,fractions
23529408.161176164,jobsearchandnetworking
23529408.161176164,access
23529408.161176164,facebook101
23529408.161176164,internetsafetyforkids
23529408.161176164,gmail
23529408.161176164,digital-media-literacy
23529408.161176164,internetbasics
23529408.161176164,word2013
23529408.161176164,word2010
23529408.161176164,excel2010
23529408.161176164,careerplanningandsalary
23529408.161176164,interviewingskills
23529408.161176164,indeed
23529408.161176164,percents
23529408.161176164,beyondemail
23529408.161176164,email101
20517300.16119288,excelformulas
20517300.16119288,excel2016
31549511.1603338178,word
31549511.1603338178,computerbasics
28015383.1547565766,powerpoint
28015383.1547565766,powerpoint2016
28015383.1547565766,computerbasics
28015383.1547565766,word
28015383.1547565766,info
18834123.161072295,excel2013
18834123.161072295,excel2016
14038033.161011908,word2016
14038033.161011908,excel2016
14038033.161011908,excelformulas
1154747.160443487,typing
1154747.160443487,word
48719078.16075788,excel2016
48719078.16075788,word2016
8301847.154238085,excel2013
8301847.154238085,powerpoint2013
8301847.154238085,word2013
8301847.154238085,excel2016
18813456.15990133,search-better-2018
18813456.15990133,internetsafety
18813456.15990133,windows10
18813456.15990133,gcfteacherguides
18813456.15990133,gmail
18813456.15990133,windowsbasics
18813456.15990133,word2016
18813456.15990133,email101
18813456.15990133,googledriveanddocs
33984706.1608522767,word-tips
33984706.1608522767,word
33984706.1608522767,word2016
33984706.1608522767,access2016
33984706.1608522767,access2007
33984706.1608522767,access2013
30471977.161195163,typing
30471977.161195163,computerbasics
30471977.161195163,windowsbasics
30471977.161195163,basic-computer-skills
30471977.161195163,excel
30471977.161195163,techsavvy
30471977.161195163,internetbasics
30471977.161195163,gmail
30471977.161195163,mobile-device-tips
30471977.161195163,iphonebasics
30471977.161195163,chromebookbasics
46163399.1600110073,beginning-graphic-design
46163399.1600110073,moneybasics
46163399.1600110073,techsavvy
46163399.1600110073,internet-tips
46163399.1600110073,imageediting101
46163399.1600110073,gcfteacherguides
46163399.1600110073,digitalphotography
38252387.1539091024,useinformationcorrectly
38252387.1539091024,digital-media-literacy
38252387.1539091024,search-better-2018
38252387.1539091024,googledocuments
13400811.1610653191,access2013
13400811.1610653191,access2016
16715068.160085702,basic-html
16715068.160085702,computer-programming-basics
40506294.16073956,communicationskills
40506294.16073956,business-communication
40506294.16073956,gmail
57835052.1611981,excel2007
57835052.1611981,powerpoint2013
14974339.161198957,wordxp
14974339.161198957,word
24170698.161200393,powerpoint2016
24170698.161200393,internetbasics
23722366.161200535,powerpoint2013
23722366.161200535,computerbasics
31878693.159717146,powerpoint2016
31878693.159717146,word2016
31639094.161023866,word2010
31639094.161023866,word2016
31639094.161023866,word
31639094.161023866,powerpoint2016
31639094.161023866,powerpoint2013
31639094.161023866,excelxp
47550993.1610416,word
47550993.1610416,excel
47550993.1610416,powerpoint
49164850.1609738228,thenow
49164850.1609738228,using-the-web-to-get-stuff-done
49164850.1609738228,digital-media-literacy
49164850.1609738228,googledocuments
55172231.161213756,beginning-a-new-career
55172231.161213756,careerplanningandsalary
55172231.161213756,coverletters
39285818.160326235,computerbasics
39285818.160326235,excelxp
12545401.1574911785,word
12545401.1574911785,typing
12545401.1574911785,powerpoint2016
12545401.1574911785,word2016
4580552.159228781,internetbasics
4580552.159228781,googlespreadsheets
11824406.160567522,excel2016
11824406.160567522,powerpoint2016
47183768.1611039960,computerbasics
47183768.1611039960,computer-science
47183768.1611039960,techsavvy
47183768.1611039960,internetexplorer
47183768.1611039960,dropbox
47183768.1611039960,internetbasics
47183768.1611039960,etsy
47183768.1611039960,prezi
47183768.1611039960,internetsafety
47183768.1611039960,search-better-2018
47183768.1611039960,digital-media-literacy
16312766.158825144,computerbasics
16312766.158825144,email101
16312766.158825144,word
16312766.158825144,mousetutorial
16312766.158825144,androidbasics
16312766.158825144,powerpoint2016
16312766.158825144,gmail
16312766.158825144,basic-computer-skills
16312766.158825144,windowsbasics
28825227.1609810402,word
28825227.1609810402,excel
28825227.1609810402,percents
28825227.1609810402,powerpoint
28825227.1609810402,powerpoint2016
17241745.160399534,excel2016
17241745.160399534,word
17241745.160399534,excelformulas
17241745.160399534,excel-tips
17241745.160399534,microsoftaccount
17241745.160399534,word-tips
17241745.160399534,excel
17241745.160399534,excel2007
17241745.160399534,word2013
17241745.160399534,excel2013
17241745.160399534,word2016
2310455.1599845164,word2016
2310455.1599845164,powerpoint2016
10111304.1611215808,computerbasics
10111304.1611215808,windows10
10111304.1611215808,windowsbasics
10111304.1611215808,word-tips
48391240.1601246418,word
48391240.1601246418,word2016
48391240.1601246418,powerpoint
48391240.1601246418,computerbasics
23083079.153476767,powerpoint
23083079.153476767,word
52145103.16104464,excelformulas
52145103.16104464,excel-tips
52145103.16104464,excel2016
17949926.161159325,computerbasics
17949926.161159325,excel2013
17949926.161159325,powerpoint2013
