Folder,Model,Custom_metric
0,cb:0.0-cf:1.0,0.3861000000000001
0,cb:0.1-cf:0.9,0.3898777777777779
0,cb:0.2-cf:0.8,0.3880722222222223
0,cb:0.30000000000000004-cf:0.7000000000000001,0.39175555555555563
0,cb:0.4-cf:0.6000000000000001,0.3892833333333335
0,cb:0.5-cf:0.5,0.3900833333333335
0,cb:0.6000000000000001-cf:0.4,0.3762777777777778
0,cb:0.7000000000000001-cf:0.30000000000000004,0.3590055555555556
0,cb:0.8-cf:0.2,0.3227722222222225
0,cb:0.9-cf:0.1,0.26753333333333346
0,cb:1.0-cf:0.0,0.1970388888888889
1,cb:0.0-cf:1.0,0.39532222222222274
1,cb:0.1-cf:0.9,0.3979611111111116
1,cb:0.2-cf:0.8,0.3972000000000005
1,cb:0.30000000000000004-cf:0.7000000000000001,0.39943888888888934
1,cb:0.4-cf:0.6000000000000001,0.3949500000000004
1,cb:0.5-cf:0.5,0.3924888888888893
1,cb:0.6000000000000001-cf:0.4,0.3815611111111115
1,cb:0.7000000000000001-cf:0.30000000000000004,0.35847222222222247
1,cb:0.8-cf:0.2,0.32195000000000024
1,cb:0.9-cf:0.1,0.27303888888888905
1,cb:1.0-cf:0.0,0.19787777777777776
2,cb:0.0-cf:1.0,0.3960055555555558
2,cb:0.1-cf:0.9,0.39981111111111123
2,cb:0.2-cf:0.8,0.39761666666666684
2,cb:0.30000000000000004-cf:0.7000000000000001,0.39904444444444465
2,cb:0.4-cf:0.6000000000000001,0.3972944444444446
2,cb:0.5-cf:0.5,0.39196111111111137
2,cb:0.6000000000000001-cf:0.4,0.3827944444444446
2,cb:0.7000000000000001-cf:0.30000000000000004,0.35955555555555574
2,cb:0.8-cf:0.2,0.3206444444444448
2,cb:0.9-cf:0.1,0.27050000000000024
2,cb:1.0-cf:0.0,0.19867222222222222
3,cb:0.0-cf:1.0,0.3982166666666667
3,cb:0.1-cf:0.9,0.4002722222222222
3,cb:0.2-cf:0.8,0.3985111111111111
3,cb:0.30000000000000004-cf:0.7000000000000001,0.39985555555555563
3,cb:0.4-cf:0.6000000000000001,0.39794999999999997
3,cb:0.5-cf:0.5,0.3941333333333333
3,cb:0.6000000000000001-cf:0.4,0.38095555555555544
3,cb:0.7000000000000001-cf:0.30000000000000004,0.3625944444444447
3,cb:0.8-cf:0.2,0.314516666666667
3,cb:0.9-cf:0.1,0.26644444444444465
3,cb:1.0-cf:0.0,0.1949444444444445
4,cb:0.0-cf:1.0,0.39652222222222255
4,cb:0.1-cf:0.9,0.39799444444444465
4,cb:0.2-cf:0.8,0.3940666666666669
4,cb:0.30000000000000004-cf:0.7000000000000001,0.397527777777778
4,cb:0.4-cf:0.6000000000000001,0.393138888888889
4,cb:0.5-cf:0.5,0.38882222222222224
4,cb:0.6000000000000001-cf:0.4,0.38086666666666663
4,cb:0.7000000000000001-cf:0.30000000000000004,0.3565666666666667
4,cb:0.8-cf:0.2,0.3231611111111114
4,cb:0.9-cf:0.1,0.2768333333333335
4,cb:1.0-cf:0.0,0.19870555555555552
5,cb:0.0-cf:1.0,0.40673333333333345
5,cb:0.1-cf:0.9,0.4105666666666667
5,cb:0.2-cf:0.8,0.40961111111111115
5,cb:0.30000000000000004-cf:0.7000000000000001,0.41081666666666666
5,cb:0.4-cf:0.6000000000000001,0.40905
5,cb:0.5-cf:0.5,0.4050611111111112
5,cb:0.6000000000000001-cf:0.4,0.3963833333333333
5,cb:0.7000000000000001-cf:0.30000000000000004,0.36829444444444454
5,cb:0.8-cf:0.2,0.32902222222222244
5,cb:0.9-cf:0.1,0.27881666666666666
5,cb:1.0-cf:0.0,0.20728333333333335
6,cb:0.0-cf:1.0,0.39930555555555586
6,cb:0.1-cf:0.9,0.39902777777777804
6,cb:0.2-cf:0.8,0.39657222222222244
6,cb:0.30000000000000004-cf:0.7000000000000001,0.39685555555555574
6,cb:0.4-cf:0.6000000000000001,0.3905333333333336
6,cb:0.5-cf:0.5,0.3886722222222224
6,cb:0.6000000000000001-cf:0.4,0.3750888888888892
6,cb:0.7000000000000001-cf:0.30000000000000004,0.3516500000000002
6,cb:0.8-cf:0.2,0.3139388888888892
6,cb:0.9-cf:0.1,0.2668388888888889
6,cb:1.0-cf:0.0,0.19555555555555545
7,cb:0.0-cf:1.0,0.40442222222222224
7,cb:0.1-cf:0.9,0.40458888888888894
7,cb:0.2-cf:0.8,0.39996111111111116
7,cb:0.30000000000000004-cf:0.7000000000000001,0.40196111111111116
7,cb:0.4-cf:0.6000000000000001,0.39972222222222215
7,cb:0.5-cf:0.5,0.39680555555555563
7,cb:0.6000000000000001-cf:0.4,0.38593333333333324
7,cb:0.7000000000000001-cf:0.30000000000000004,0.3610388888888891
7,cb:0.8-cf:0.2,0.3244222222222225
7,cb:0.9-cf:0.1,0.2768277777777779
7,cb:1.0-cf:0.0,0.20030555555555551
8,cb:0.0-cf:1.0,0.39857777777777814
8,cb:0.1-cf:0.9,0.40266111111111147
8,cb:0.2-cf:0.8,0.40126111111111146
8,cb:0.30000000000000004-cf:0.7000000000000001,0.4045777777777781
8,cb:0.4-cf:0.6000000000000001,0.39995000000000036
8,cb:0.5-cf:0.5,0.3976722222222224
8,cb:0.6000000000000001-cf:0.4,0.38516111111111134
8,cb:0.7000000000000001-cf:0.30000000000000004,0.36140000000000033
